Uppgift Id;Rad;Beskrivning;Antal;Pris;Fortnox Artikel Id;Fortnox Kostnadsställe;Fortnox Projekt
757;1;Bergsgatan 30: Kärltvätt Standard ;5;150;K100;;ADO
758;1;Bergsgatan 38: Miljörum Medium ;1;648;K100;;ADO
759;1;Bergsgatan 38: Kärltvätt Standard ;6;150;K100;;ADO
760;1;Bergsgatan 40: Miljörum Medium ;1;648;K100;;ADO
761;1;Bergsgatan 40: Kärltvätt Standard ;8;150;K100;;ADO
762;1;Bergsgatan 48: Miljörum Medium ;1;648;K100;;ADO
763;1;Bergsgatan 48: Kärltvätt Standard ;6;150;K100;;ADO
764;1;Bergsgatan 50: Miljörum Medium ;1;648;K100;;ADO
765;1;Bergsgatan 50: Kärltvätt Standard ;6;150;K100;;ADO
766;1;Bergsgatan 58: Miljörum Medium ;1;648;K100;;ADO
767;1;Bergsgatan 58: Kärltvätt Standard ;6;150;K100;;ADO
768;1;Fabriksgatan 1-5: Miljörum Medium  (2024-02-13 15:20);1;648;K100;;BHO891
769;1;Fabriksgatan 1-5: Kärltvätt Standard  (2024-02-13 15:21);10;150;K100;;BHO891
770;1;Fabriksgatan 6: Miljörum Large  (2024-02-13 15:56);1;648;K100;;BHO891
771;1;Fabriksgatan 6: Kärltvätt Standard  (2024-02-13 15:57);5;150;K100;;BHO891
