Uppgift Id;Rad;Beskrivning;Antal;Pris;Fortnox Artikel Id;Fortnox Kostnadsställe;Fortnox Projekt
6557;1;Balettvägen 7: Miljörum Small  (2024-05-14 11:27);1;921,4;K100;M;YCJ
6558;1;Balettvägen 132: Miljörum Small  (2024-05-14 10:53);1;921,4;K100;M;YCJ
6559;1;Lejonets gata 374: Kärltvätt Standard  (2024-05-13 14:44);4;156,64;K100;M;YCJ
6560;1;Tvillingarnas gata 308: Kärltvätt Standard  (2024-05-13 14:14);4;156,64;K100;M;YCJ
6561;1;Katrinebergsvägen 179: Kärltvätt Standard ;1;156,64;K100;M;YCJ
6562;1;Hundhamravägen 49: Kärltvätt Standard  (2024-05-15 13:31);9;156,64;K100;M;YCJ
6563;1;Hundhamravägen 84: Kärltvätt Standard  (2024-05-15 13:20);9;156,64;K100;M;YCJ
6564;1;Tomtbergavägen 325: Kärltvätt Standard ;1;156,64;K100;M;YCJ
6565;1;Hundhamravägen 32: Kärltvätt Standard ;6;156,64;K100;M;YCJ
6566;1;Högbrinksvägen 4-6: Kärltvätt Standard  (2024-05-15 14:57);7;156,64;K100;M;YCJ
6567;1;Vårby allé 26-30: Kärltvätt Standard  (2024-05-16 14:17);1;156,64;K100;M;YCJ
6568;1;Centralgatan 24a: Kärltvätt Standard  (2024-05-13 11:04);4;156,64;K100;M;YCJ
6569;1;Skolgatan 2a: Kärltvätt Standard  (2024-05-13 10:26);10;156,64;K100;M;YCJ
6570;1;Skolgatan 2b: Kärltvätt Standard  (2024-05-13 10:26);4;156,64;K100;M;YCJ
6571;1;Rådhusesplanaden 9 A: Kärltvätt Standard  (2024-05-13 17:13);10;171;K100;N;WGB
6572;1;Frimans väg 89: Miljörum Small  (2024-05-21 17:08);1;625;K100;N;ADO
6573;1;Frimans väg 89: Kärltvätt Standard  (2024-05-21 17:08);24;191;K100;N;ADO
6574;1;Frimans väg 89 litet: Miljörum Large  (2024-05-21 17:09);1;1516;K100;N;ADO
6575;1;Frimans väg 89 litet: Kärltvätt Standard  (2024-05-21 17:08);5;191;K100;N;ADO
6576;1;Ringvägen 3: Miljörum Large  (2024-05-28 18:49);1;1516;K100;N;ADO
6577;1;Ringvägen 3: Kärltvätt Standard  (2024-05-28 18:49);16;191;K100;N;ADO
6578;1;Krutvaktargränd 24-36: Miljörum Large  (2024-05-20 16:53);1;1516;K100;N;ADO
6579;1;Krutvaktargränd 24-36: Kärltvätt Standard  (2024-05-20 16:53);26;191;K100;N;ADO
6580;1;Krutvaktargränd 2-22: Miljörum Large  (2024-05-20 15:38);1;1516;K100;N;ADO
